,wt-SNE 1,wt-SNE 2,type
0,-15.932315643767385,-1.2734591684052832,1.0
1,-14.098691501997576,-1.77502871342175,1.0
2,-15.633643497783808,-1.254271836975124,1.0
3,-14.033393850371546,-2.041848535497133,1.0
4,-15.971123136611318,-0.2503264780716073,1.0
5,-13.902163676470684,-0.6919458647309397,1.0
6,-15.532205371865029,-0.1520506148910775,1.0
7,-13.930900653529301,-0.8760052828983034,1.0
8,-16.401207381335958,-2.7697319140034713,1.0
9,-17.533885986079706,1.2026683579013742,1.0
10,-13.585471232905684,-2.0207580311936666,1.0
11,-16.592413261696144,-0.8810595465631478,1.0
12,-15.300341384086103,-2.985992584653993,1.0
13,-16.855774347050904,-2.9828108205810677,1.0
14,-18.654287006999827,-0.7312906348982616,1.0
15,-17.608428890749735,1.5234856076752954,1.0
16,-12.513111962571388,0.28722717171729856,1.0
17,-12.743979574930018,0.13529648816819614,1.0
18,-17.60117296777083,-0.861774496233585,1.0
19,-12.944700387597326,0.3516863627216687,1.0
20,-17.57492780577456,-0.9787031279829516,1.0
21,-14.572346717242974,0.9418115972168418,1.0
22,-14.396231389452433,1.0705282942526588,1.0
23,5.991657342590436,-5.368282823210812,1.0
24,14.553950814297032,2.073916382219697,1.0
25,-12.384842202558497,14.528396103489088,1.0
26,15.496869617002659,2.693640708105846,1.0
27,-22.715370390064606,18.125331794689377,1.0
28,-12.375697762124902,9.284023309577593,1.0
29,-13.330352381817974,9.50181089500932,1.0
30,5.093146509628319,-14.87739318346645,1.0
31,4.085061175467003,-14.866102246420457,1.0
32,4.456250831908515,-13.253469746626696,1.0
33,-13.24059791554186,9.107335954847837,1.0
34,-12.922996371514111,10.174384961354267,1.0
35,-13.007463447929974,9.609420553293914,1.0
36,4.6553933656421895,-14.523530743791046,1.0
37,-12.584878700337802,9.97377368815533,1.0
38,5.160307410696327,-14.83170470117292,1.0
39,15.217512165304766,3.4042027359448492,1.0
40,-23.48159886394901,15.84564906903758,1.0
41,15.320640950978948,3.5965348688899352,1.0
42,-25.745924232179302,16.220388101448503,1.0
43,5.917058516024457,-5.577409051837119,1.0
44,12.820445651920233,1.997619210201219,1.0
45,6.079129831414735,-5.607475852603022,1.0
46,-14.467315087174422,14.053380502482332,1.0
47,17.727089620706884,0.9217887581865432,1.0
48,-21.338229985653708,21.303661342528816,1.0
49,17.591248339594713,0.8797941195809625,1.0
50,-21.782978582262952,20.865758470005037,1.0
51,8.31128803001149,-5.382081756132382,1.0
52,-12.835182889048587,15.3331202678302,1.0
53,17.075991224756294,-0.16402389583756086,1.0
54,-21.634160308638876,21.744520126252198,1.0
