,wt-SNE 1,wt-SNE 2,type
0,9.739471766177711,1.4582362772265998,R
1,-3.148335432671233,-9.433688651783035,R
2,-3.2656589417186486,-11.972982563160805,R
3,-0.8870006608265317,4.7351486960870295,R
4,-2.814476201205851,-7.88946262429615,R
5,-3.3652671490410544,-4.03931348099222,R
6,5.047989020594806,4.2272602820809535,R
7,-9.284280721084437,-2.6796196208243104,R
8,-4.246210270197936,7.516444869246147,R
9,-5.317979029137929,9.850316669322238,R
10,4.395413566329055,9.340301788806922,R
11,-2.332993152999555,9.077199810760064,R
12,1.4642645981411029,8.390692625552324,R
13,8.558719573011421,1.0193036689204078,R
14,2.840781410542415,5.276124285709728,R
15,6.872368029452006,-0.3151274830047188,R
16,8.25109877467735,-0.3756179643268072,R
17,6.501064663587766,6.238933632829596,R
18,6.148283715113688,4.283378641257457,R
19,-3.8454980809406942,-11.330361116707195,R
20,4.501272537125493,-1.9107895954902112,R
21,7.357964602525584,-1.1933672101348047,R
22,11.808106953048656,-0.716355098065754,R
23,6.7904872024253145,8.46081955177665,R
24,10.95453690771336,4.183060547714668,R
25,6.327896564078615,8.848867171902997,R
26,-4.1712010750548,9.077299956720106,R
27,-5.635745940357625,3.6841117173840425,R
28,2.2922492341346676,-2.992559554586211,R
29,-7.0984029494060925,-2.496016757627852,R
30,5.318295973995599,3.1871606317281445,R
31,-3.3169452859414483,1.8771480361686566,R
32,3.964640337216685,8.847494594511993,R
33,6.046394925611149,6.871034199458478,R
34,3.7019388715747423,5.020926556849615,R
35,-2.526705309451007,0.18113882284380914,R
36,7.601644859582248,5.386583996084374,R
37,4.980809632109142,6.208953883294675,R
38,2.29551171409435,8.250008216623831,R
39,7.1930576090068925,4.755015911206373,R
40,4.210458801281229,6.073237612279193,R
41,6.722975366485061,7.338206683464325,R
42,11.478747393337853,2.953700519415708,R
43,10.239382920998949,0.8866045842382875,R
44,12.485163671689648,-0.4925630483880564,R
45,7.375747656654296,-0.4268918963519608,R
46,5.810959877161086,-2.296026908762507,R
47,3.486704867400911,3.0102997611284756,R
48,4.5612328836997715,4.681938298020579,R
49,5.81358970638854,1.313902198952136,R
50,11.223387729967472,2.4067379528219943,R
51,5.02563031385489,8.457938366084331,R
52,-4.292994391817936,6.673518571576566,R
53,-2.8471071691720065,9.511665205126207,R
54,-4.966795238057022,6.00784976187355,R
55,-4.534464944819938,3.355642936115477,R
56,-5.4352547066688714,2.700879970810318,R
57,7.447997582157745,4.407360117338038,R
58,5.691029442860718,5.884933752452243,R
59,5.019256072685534,7.87538281198977,R
60,5.41722169985334,5.456782835007993,R
61,5.0563366761079855,5.7741973687160035,R
62,7.824573354547158,6.762228909163191,R
63,5.940953113001681,7.577403880355402,R
64,11.7094895461918,4.121008468284107,R
65,11.690889781042426,3.673440738887859,R
66,11.341994144641138,4.10632311737345,R
67,10.927948485078815,3.3104999992891426,R
68,2.791038967501379,3.017453807771937,R
69,-3.7462858948372855,7.323641810550698,R
70,-4.672361719418197,8.624237337222118,R
71,-3.6871371373811095,8.339366178791433,R
72,-4.750367329321344,8.112173970131096,R
73,-4.970975423454999,6.877243411751651,R
74,-3.1468808963197934,8.14595762118936,R
75,-5.037209941201626,9.199210775888902,R
76,-5.931447307205872,8.810493898462367,R
77,-5.216959920848177,10.734578198648514,R
78,-5.991602196355232,10.50261395813398,R
79,-6.633459274793795,9.163674473114812,R
80,-5.099389262113225,-2.732250086952631,R
81,-5.5905517108078016,-5.8468086347033195,R
82,-9.298971689365533,-0.9333146498020801,R
83,-5.471045297238363,-8.56736440667102,R
84,-7.8177501345280085,-5.72945088532354,R
85,6.786830761571982,-2.330026071680997,R
86,7.877432956437954,0.18394976218316658,R
87,7.893310961876683,-1.8323283853871553,R
88,5.293931663600226,0.251949367049917,R
